"pretty persuasion (2005)","13"
"prime (2005)","13"
"nobel son (2007)","13"
"white oleander (2002)","13"
"the road to el dorado (2000)","13"
"pollock (2000)","13"
"alpha dog (2006)","13"
"far from heaven (2002)","13"
"death to smoochy (2002)","13"
"the patriot (2000)","13"
"the devil's rejects (2005)","13"
"seraphim falls (2006)","13"
"spun (2002)","13"
"the prestige (2006)","13"
"planet terror (2007)","13"
"50 first dates (2004)","13"
"two for the money (2005)","13"
"the fountain (2006)","13"
"jay and silent bob strike back (2001)","13"
"the italian job (2003)","13"
"the school of rock (2003)","13"
"hoodwinked! (2005)","13"
"kate & leopold (2001)","13"
"the new world (2005)","13"
"cadillac records (2008)","13"
"be kind rewind (2008)","13"
"the matrix revolutions (2003)","13"
"chain of fools (2000)","13"
"flushed away (2006)","13"
"into the wild (2007)","13"
"rush hour 3 (2007)","13"
"holes (2003)","13"
"saw iv (2007)","13"
"confidence (2003)","13"
"21 grams (2003)","13"
"impostor (2001)","13"
"coach carter (2005)","13"
"beerfest (2006)","13"
"american splendor (2003)","13"
"no reservations (2007)","13"
"it's complicated (2009)","13"
"open season (2006)","13"
"last holiday (2006)","13"
"chicago 10 (2007)","13"
"ira & abby (2006)","13"
"friends with money (2006)","13"
"broken flowers (2005)","13"
"cleaner (2007)","13"
"assault on precinct 13 (2005)","13"
"i'm with lucy (2002)","13"
"timecode (2000)","13"
"brooklyn's finest (2009)","13"
"25th hour (2002)","13"
"gigantic (2008)","13"
"puppy love (2008)","13"
"high crimes (2002)","13"
"forgetting sarah marshall (2008)","13"
"16 blocks (2006)","13"
"che: part one (2008)","13"
"ice age: dawn of the dinosaurs (2009)","13"
"running with scissors (2006)","13"
"stephanie daley (2006)","13"
"donnie darko (2001)","13"
"munich (2005)","12"
"unbreakable (2000)","12"
"the heart is deceitful above all things (2004)","12"
"mysterious skin (2004)","12"
"the holiday (2006)","12"
"jersey girl (2004)","12"
"kingdom of heaven (2005)","12"
"v for vendetta (2005)","12"
"the legend of bagger vance (2000)","12"
"things we lost in the fire (2007)","12"
"the princess and the frog (2009)","12"
"how to lose a guy in 10 days (2003)","12"
"shrink (2009)","12"
"the exorcism of emily rose (2005)","12"
"the polar express (2004)","12"
"hollywoodland (2006)","12"
"things you can tell just by looking at her (2000)","12"
"the nines (2007)","12"
"antwone fisher (2002)","12"
"dreamgirls (2006)","12"
"spy game (2001)","12"
"please give (2010)","12"
"the blind side (2009)","12"
"the believer (2001)","12"
"training day (2001)","12"
"hearts in atlantis (2001)","12"
"the shipping news (2001)","12"
"surrogates (2009)","12"
"edmond (2005)","12"
"blow (2001)","12"
"the rules of attraction (2002)","12"
"made (2001)","12"
"gangs of new york (2002)","12"
"kit kittredge: an american girl (2008)","12"
"eurotrip (2004)","12"
"everybody's fine (2009)","12"
"finding nemo (2003)","12"
"nurse betty (2000)","12"
