"ice age (2002)","25"
"nobel son (2007)","25"
"ira & abby (2006)","25"
"che: part one (2008)","25"
"two for the money (2005)","25"
"saw iv (2007)","24"
"last holiday (2006)","24"
"american splendor (2003)","24"
"the game plan (2007)","24"
"16 blocks (2006)","24"
"jay and silent bob strike back (2001)","24"
"the matrix revolutions (2003)","24"
"cleaner (2007)","24"
"ice age: dawn of the dinosaurs (2009)","24"
"into the wild (2007)","24"
"high crimes (2002)","24"
"chain of fools (2000)","24"
"road to perdition (2002)","24"
"blow (2001)","23"
"the blind side (2009)","23"
"hamlet 2 (2008)","23"
"garden state (2004)","23"
"the rules of attraction (2002)","23"
"the exorcism of emily rose (2005)","23"
"powder blue (2009)","23"
"dawn of the dead (2004)","23"
"unbreakable (2000)","23"
"how to lose a guy in 10 days (2003)","23"
"training day (2001)","23"
"hearts in atlantis (2001)","23"
"hollywood ending (2002)","23"
"stage beauty (2004)","23"
"made (2001)","23"
"my sister's keeper (2009)","23"
"the shipping news (2001)","23"
"ca$h (2010)","23"
"hollywoodland (2006)","23"
"edmond (2005)","23"
"jersey girl (2004)","23"
"gangs of new york (2002)","23"
"rat race (2001)","23"
"15 minutes (2001)","23"
"the clearing (2004)","23"
"dreamgirls (2006)","23"
"american wedding (2003)","23"
"walk the line (2005)","23"
"just like heaven (2005)","23"
"the good german (2006)","23"
"the last time (2006)","23"
"redbelt (2008)","23"
"running scared (2006)","23"
"death to smoochy (2002)","23"
"down with love (2003)","23"
"everybody's fine (2009)","23"
"jarhead (2005)","23"
"mysterious skin (2004)","23"
"the life of david gale (2003)","23"
"hoodwinked! (2005)","23"
"rush hour 3 (2007)","23"
"the heart is deceitful above all things (2004)","23"
"open season (2006)","23"
"harold & kumar go to white castle (2004)","23"
"an american crime (2007)","23"
"kit kittredge: an american girl (2008)","23"
"the legend of bagger vance (2000)","23"
"secondhand lions (2003)","23"
"date night (2010)","23"
"the believer (2001)","23"
"black irish (2007)","23"
"kill bill: vol. 1 (2003)","23"
"kingdom of heaven (2005)","23"
"please give (2010)","23"
"shrink (2009)","23"
"identity (2003)","23"
"felon (2008)","23"
"antwone fisher (2002)","23"
"flightplan (2005)","23"
"four brothers (2005)","23"
"cloverfield (2008)","23"
"nurse betty (2000)","23"
"shrek (2001)","23"
"bad santa (2003)","23"
"arlen faber (2009)","23"
"hamlet (2000)","23"
"fast food nation (2006)","23"
"game 6 (2005)","23"
"finding neverland (2004)","23"
"dark blue (2002)","23"
"the holiday (2006)","23"
"criminal (2004)","22"
"flushed away (2006)","22"
"down in the valley (2005)","22"
"gridiron gang (2006)","22"
"chicago 10 (2007)","22"
"surrogates (2009)","22"
"v for vendetta (2005)","22"
"munich (2005)","22"
"brother bear (2003)","22"
"things we lost in the fire (2007)","22"
"the battle of shaker heights (2003)","22"
"the matrix reloaded (2003)","22"
"treasure planet (2002)","22"
"snakes on a plane (2006)","22"
"stories of lost souls (2005)","22"
"holes (2003)","22"
"spy game (2001)","22"
"music and lyrics (2007)","22"
"finding nemo (2003)","22"
"the fountain (2006)","22"
"star wars: episode ii - attack of the clones (2002)","22"
"notorious (2009)","21"
"mother and child (2009)","21"
"observe and report (2009)","21"
"wall·e (2008)","21"
"joe gould's secret (2000)","21"
"sideways (2004)","21"
"meet the parents (2000)","21"
"love liza (2002)","21"
"shopgirl (2005)","21"
"igor (2008)","21"
"vicky cristina barcelona (2008)","21"
"the notebook (2004)","21"
"lucky number slevin (2006)","21"
"erin brockovich (2000)","21"
"red eye (2005)","21"
"extract (2009)","21"
"the good girl (2002)","21"
"heights (2005)","21"
"broken english (2007)","21"
"road trip (2000)","21"
"reign over me (2007)","21"
"takedown (2000)","21"
"case 39 (2009)","21"
"in the electric mist (2009)","21"
"the cell (2000)","21"
"the life before her eyes (2007)","21"
"death proof (2007)","21"
"the emperor's club (2002)","21"
"osmosis jones (2001)","21"
"where the money is (2000)","21"
"flakes (2007)","21"
"the elder son (2006)","21"
"resurrecting the champ (2007)","21"
"drag me to hell (2009)","21"
"$5 a day (2008)","21"
"snatch. (2000)","21"
"a love song for bobby long (2004)","21"
"spartan (2004)","21"
"don't say a word (2001)","21"
"spicy mac project (2009)","21"
"the dukes (2007)","21"
"the good life (2007)","21"
"rules of engagement (2000)","21"
"things you can tell just by looking at her (2000)","21"
"troy (2004)","21"
"taking woodstock (2009)","21"
"fast food fast women (2000)","21"
"10th & wolf (2006)","21"
"born to fight 2008 (2008)","21"
"the loss of a teardrop diamond (2008)","21"
"city by the sea (2002)","21"
"the skeleton key (2005)","21"
"meet the fockers (2004)","21"
"capote (2005)","21"
"serendipity (2001)","21"
"happy endings (2005)","21"
"the princess and the frog (2009)","21"
"dedication (2007)","21"
"extraordinary measures (2010)","21"
"hachiko: a dog's story (2009)","21"
"the last kiss (2006)","21"
"nicholas nickleby (2002)","21"
"the lovely bones (2009)","21"
"eurotrip (2004)","21"
"tigerland (2000)","21"
"the chronicles of riddick (2004)","21"
"ratatouille (2007)","21"
"sympathy for delicious (2010)","21"
"how to get the man's foot outta your ass (2003)","21"
"cold souls (2009)","21"
"we were soldiers (2002)","21"
"the mist (2007)","21"
"hellboy ii: the golden army (2008)","21"
"night at the museum (2006)","21"
"sex drive (2008)","21"
"the slammin' salmon (2009)","21"
"don't come knocking (2005)","21"
"i want someone to eat cheese with (2006)","21"
"happy accidents (2000)","21"
"evening (2007)","21"
"the station agent (2003)","21"
"the namesake (2006)","20"
"hellboy (2004)","20"
"sex and death 101 (2007)","20"
"the ladykillers (2004)","20"
"x-men origins: wolverine (2009)","20"
"puppy love (2008)","20"
"kick-ass (2010)","20"
"the incredibles (2004)","20"
"(500) days of summer (2009)","20"
"a prairie home companion (2006)","20"
"bandits (2001)","20"
"noel (2004)","20"
"solitary man (2009)","20"
"saw iii (2006)","20"
"the book of eli (2010)","20"
"the brothers bloom (2008)","20"
"bill (2007)","20"
"vanity fair (2004)","19"
"one last thing... (2005)","19"
"the road to el dorado (2000)","19"
"winter passing (2005)","19"
"hair high (2004)","19"
"how to kill your neighbor's dog (2000)","19"
"yonkers joe (2008)","19"
"dallas 362 (2003)","19"
"grandma's boy (2006)","19"
"keeping the faith (2000)","19"
"valkyrie (2008)","19"
"crazy heart (2009)","19"
"rip off church (2007)","19"
"nothing like the holidays (2008)","19"
"the safety of objects (2001)","19"
"heavens fall (2006)","19"
"northfork (2003)","19"
"the wackness (2008)","19"
"richard iii (2008)","19"
"monster's ball (2001)","19"
"next (2007)","19"
"sinbad: legend of the seven seas (2003)","19"
"the grey zone (2001)","19"
"star wars: episode iii - revenge of the sith (2005)","19"
"turn the river (2007)","19"
"moonlight mile (2002)","19"
"choose connor (2007)","19"
"adventureland (2009)","19"
"the sisterhood of the traveling pants (2005)","19"
"thirteen conversations about one thing (2001)","19"
"gardens of the night (2008)","19"
"queenie in love (2001)","19"
"the weather man (2005)","19"
"the dog problem (2006)","19"
"blade ii (2002)","19"
"anything else (2003)","19"
"(untitled) (2009)","19"
"inkheart (2008)","19"
"secret window (2004)","19"
