movie	actor
993	1185
2281	1588
1906	1768
2378	1998
1601	652
1609	1635
2067	483
1827	584
1971	74
107	626
1671	611
908	617
2329	1304
1047	39
2439	1914
102	398
2727	1602
2723	1946
727	995
325	1327
2335	1021
78	314
1141	1825
1569	1594
2625	312
1639	973
2080	1284
1918	773
75	92
1935	1458
1047	580
14	43
2726	385
2204	166
2303	534
2260	1512
1470	1848
76	440
1937	1794
785	1328
2609	362
2373	1075
1084	1863
2813	718
2315	582
2466	1144
656	1752
494	682
1576	1058
1575	1965
174	369
142	768
1695	1544
495	1583
2009	1551
2267	388
1437	1114
986	1039
1832	939
1360	1375
549	951
1452	1747
2621	32
1985	1024
2232	1142
1476	723
651	458
2385	326
1994	1066
929	355
1803	1324
446	1503
1821	1292
1778	1855
2053	467
1101	294
2496	1196
2424	1564
2737	69
2544	1761
142	761
390	1434
1948	1113
2772	1209
1487	105
1519	1213
843	1111
36	258
16	51
473	267
1071	159
2280	1832
1880	708
1430	1191
1961	983
2246	82
1436	408
2385	1519
1504	95
2582	49
2362	261
1144	509
1959	860
357	1386
1062	698
1346	139
1632	860
2133	122
2636	1529
724	1336
1272	130
1936	734
1997	1911
1826	1718
998	479
1888	273
11	29
2292	1959
828	904
585	996
1566	733
1	7
2185	210
1084	1887
1182	1850
1520	937
1084	1708
1467	926
2745	1076
1	3
23	152
1243	586
2560	1019
1253	1223
943	39
881	1182
1212	1533
1529	1308
999	1692
705	969
917	123
1522	1816
2367	1612
2161	1758
2703	479
1516	1470
2743	1950
2685	1416
1786	826
489	1414
1464	1726
2158	1394
2121	1288
1461	1157
2247	8
2177	897
2645	999
1919	434
131	714
1801	1803
2247	1307
2577	953
1342	962
1402	1977
607	693
639	282
214	967
1327	1885
555	585
305	1283
757	1167
168	852
2017	1389
898	89
1430	1327
266	1155
1741	52
2423	1306
561	1643
523	1617
2739	1283
381	410
2568	1355
925	1134
285	550
2849	672
2321	897
11	26
497	766
1631	49
2348	776
313	316
517	700
2645	127
2280	1827
2659	1118
2163	1924
1896	1632
1422	952
2133	191
2302	715
969	1104
1885	504
715	763
1864	602
2489	53
2162	1
2429	1697
2309	615
680	463
2541	238
234	1038
673	718
15	44
93	520
1273	1264
160	833
1716	557
2014	1760
116	667
893	417
711	1153
1572	532
1959	402
2133	1321
825	396
2072	1384
74	159
1450	1394
2032	1378
873	1123
527	1246
329	1348
1529	503
1649	273
1862	1336
2067	780
827	1355
1588	973
2474	1321
253	185
1555	1288
1840	1859
534	922
2336	241
2125	696
2309	614
2122	540
1272	1861
2049	1262
2758	1902
1995	1248
1057	496
125	650
1555	1314
773	167
414	850
96	548
1512	1200
907	1669
1015	1819
1013	1340
267	332
2055	45
2377	1949
22	110
1912	1774
1280	1959
436	329
1782	426
383	674
1409	550
100	574
2212	923
1916	1617
740	1126
2397	1211
2657	131
2741	474
2565	575
2366	487
607	1667
1138	768
1053	185
1891	1616
1066	1359
2702	105
2062	762
1387	130
270	1169
1055	1054
44	284
788	69
121	442
617	1382
852	810
1342	1533
2205	1452
47	298
2766	1660
2800	1515
1378	572
2050	26
553	1636
535	1624
1306	681
25	167
1744	1896
394	297
1481	363
2700	409
2594	496
2079	1868
92	508
2501	1472
493	1575
1446	1703
846	1724
259	165
2051	1997
1002	1765
2015	1606
2416	527
491	1089
1517	214
2524	453
97	563
478	849
1872	1814
475	1541
1782	875
1589	1136
2761	1102
2267	845
1253	1846
1705	668
2149	1634
550	1095
175	320
261	1135
1985	1472
427	1485
852	1503
787	820
963	1155
85	476
359	1390
1107	757
2569	1931
1809	1528
1631	489
533	1549
1854	1934
204	928
1005	1908
1715	1082
1865	543
2454	1548
1860	478
633	1730
2416	853
881	1860
867	1729
734	1791
2443	1952
1813	445
2074	995
2689	1265
1985	1103
2799	713
2484	1049
2704	1918
1048	265
2810	1966
846	773
218	984
1555	947
534	809
1528	503
1601	101
2326	542
2156	537
1976	509
807	1211
1997	507
2440	1246
2034	1588
1923	1810
2277	743
659	1039
2764	884
1937	249
1672	1908
1527	717
1529	1490
2587	1969
1956	90
2801	1063
2135	1644
240	1050
1921	1979
2189	568
1558	326
1871	1636
2601	1222
1453	891
2305	287
1647	59
553	1210
624	1720
2508	543
1131	1713
1063	366
35	253
681	1612
1821	1303
787	1578
719	1664
1573	1696
1734	1996
750	1797
2163	1893
792	1341
75	424
414	730
188	891
22	111
1509	1466
1837	1795
2385	1725
1761	1017
157	814
607	924
2555	180
130	703
555	1037
1648	1117
1310	380
199	188
1338	1887
2472	1899
865	1396
2294	102
1647	1511
826	1796
1184	1306
1842	1497
862	4
996	464
1536	103
1739	764
2177	1745
227	104
2197	1299
586	1059
261	748
1051	1238
2329	1454
2720	1147
1412	1809
2491	1998
2752	1685
898	1482
2550	1193
430	980
2531	566
259	155
576	1657
1100	987
997	1191
1377	1886
278	149
2172	1893
1614	230
222	1000
201	346
1491	147
2112	443
1259	1191
174	867
1457	1685
64	378
387	1353
932	1732
207	944
993	479
1809	1209
2300	1480
1627	649
1523	1073
768	352
359	578
1465	1668
1757	1095
262	925
2059	36
1849	1635
168	243
489	900
1127	1757
1734	511
2441	1288
207	945
1981	1485
261	1140
1992	1595
2818	1674
1063	1798
2335	1821
181	881
349	916
2565	636
2818	234
2327	642
1437	1681
1868	1938
10	23
1047	1380
816	1766
501	1382
1224	1674
2137	1551
1633	1855
2666	1584
167	183
1469	1083
1487	390
62	371
2224	818
1035	610
349	635
1029	465
402	490
2532	686
2032	758
349	691
482	631
247	1090
1838	1829
1705	599
1716	1995
1664	219
683	1466
2535	231
934	1147
589	382
1361	1981
1402	943
2673	793
2580	831
1847	1464
1708	1631
1624	292
436	1492
1931	1317
2373	581
733	1645
993	691
737	1156
2407	1241
2546	1238
595	1052
1498	11
2263	1576
494	122
2735	112
2413	1872
153	796
1871	1697
2204	1646
1768	219
247	1093
1536	1061
469	995
1217	1627
1989	1189
812	1848
2127	1540
1040	1183
1187	837
1530	1984
1043	1407
274	918
487	1559
1971	775
1935	1861
2157	1125
2368	1431
1076	1046
1404	989
1045	578
1070	1111
1572	1010
2569	1969
2309	619
672	544
440	618
1291	603
26	177
1233	60
1692	777
170	11
1067	919
1579	1326
2188	1230
799	324
2373	1118
2245	1082
329	817
1449	125
584	725
2374	665
2799	1470
624	1094
241	839
156	805
2539	1314
2516	357
417	856
2823	1531
2334	1251
1704	1989
1772	876
1174	436
1317	1003
1626	656
907	850
2332	16
86	486
291	96
1930	1186
22	124
2236	729
955	564
2621	660
1676	580
2496	898
368	1404
1158	1878
639	1175
1551	1446
2179	1227
2607	1790
2596	446
1600	1540
2675	119
37	262
2795	1070
2127	1365
2849	1490
1020	402
977	632
964	1574
1135	1416
756	827
1466	1654
1838	1832
