movie	actor
1947	2555
3700	9883
2727	9721
4156	2968
1583	635
1933	6783
1170	6960
1790	5555
3861	4211
1773	8898
734	6116
3401	8245
1434	8313
315	3587
2854	8255
889	2301
3013	6681
1142	6319
1651	7706
3141	9398
984	2188
165	2219
2180	3638
4018	8179
258	3196
1673	5341
679	5797
827	5553
2790	3770
3329	2783
1011	626
86	1113
875	6678
192	2557
2382	3770
3607	9615
1970	359
3857	3534
3191	9037
246	3080
2068	4648
2796	9751
123	1610
3757	5288
1515	2968
1753	359
1924	1991
3178	272
2390	4684
395	4259
214	2857
3307	7925
2799	5965
123	1606
928	3698
1323	4990
4034	5815
2329	6826
3165	481
3414	6271
1023	2816
1599	344
2425	5211
1294	102
3652	8071
148	1922
1554	8556
1675	4853
45	669
2450	6733
334	1877
1847	3651
338	1619
735	6107
1175	2054
1283	2115
231	2950
2660	7795
423	2362
2578	7142
3990	2833
1745	7512
2750	9356
1977	1519
2861	3593
3304	9473
700	5928
3701	6338
3626	9314
2243	7781
173	2349
2558	7780
80	1045
3922	1201
3040	4932
1300	4264
2630	2806
3250	2969
2838	4536
232	2956
3754	6692
3785	8909
1798	3714
193	2576
1434	5903
195	2637
4154	3919
2792	9377
2473	3164
1935	668
1723	8823
2713	4204
2022	3214
381	4170
884	2960
1353	755
505	5082
3243	1080
843	3378
44	579
1447	8348
2832	8142
273	3341
1508	3350
2933	8765
70	943
149	1914
1206	7799
1207	5151
2209	6573
3574	4783
4060	8347
2260	1918
878	4350
3749	6296
2978	8424
1968	5207
3244	1405
539	5205
1449	5154
1867	4570
3116	8256
1435	4298
3963	7274
3854	3906
2520	9503
1569	7614
3473	1628
832	6524
1592	7662
2304	3714
1646	8700
183	2466
95	1233
177	2378
222	2888
1802	3012
3018	5011
1080	6663
2020	6268
500	5052
2689	7591
144	1821
2718	4709
3366	5996
940	6955
1896	7968
2301	6549
2044	9287
2844	1803
3443	8920
1980	7036
2350	8226
392	4224
3754	6232
618	1540
316	3627
3709	5850
565	5305
1749	8358
410	32
580	2994
3311	5256
3673	6826
3609	9853
1771	4487
2247	8545
1586	4686
3517	1916
3175	2433
2061	4461
3026	6619
4158	8777
2166	5133
3769	9517
2435	3961
3512	6190
920	6900
1239	7339
3580	6089
95	1242
1780	8908
2192	3418
2609	1640
2562	8535
1819	2205
1642	8690
1093	7401
3673	6855
2234	5693
2456	4152
3744	4027
2926	2930
2335	538
2435	2937
1964	9202
160	2096
1681	6487
3749	9991
701	2819
3582	4110
115	1524
1753	1567
2316	1849
3630	9060
3519	5465
80	1042
1632	8676
2844	5497
2006	8324
2917	8501
3883	548
1156	4356
2918	9670
2850	530
216	2866
2792	9150
572	5318
3597	786
4	11
2623	1471
3233	6406
3100	667
2788	3976
2630	1885
317	3640
2158	4144
2225	147
925	6928
3559	8776
3754	5918
2126	7766
1959	4506
144	1806
1217	7835
211	2822
1733	1696
1108	1914
4000	5001
1554	6401
2960	9165
3231	4492
129	1647
3204	8775
1576	6536
1884	4360
2301	6874
2030	683
1208	3818
166	2260
4009	5736
2997	2126
1252	7905
638	5058
3381	3435
1704	4249
289	635
3682	4137
98	1307
395	2663
1476	8400
3750	4519
984	1947
1308	2920
3797	4005
1508	6812
1972	3444
4065	9180
2558	7844
2957	6338
737	6140
1887	4086
3682	9661
392	2936
2722	2390
2099	9020
161	2123
2555	8071
689	4272
2366	5284
2328	4376
88	456
1668	8515
1885	4905
1290	2533
2723	9817
3673	3909
591	5394
3094	7696
44	590
2918	7802
4134	2961
2819	1169
1195	7771
2696	4809
2249	7810
2519	6806
1650	3470
1384	4156
3358	3882
2329	361
1824	8715
2100	7135
3612	9013
1651	608
2497	6127
897	6590
3407	6512
2525	9291
664	2085
2318	6857
3807	3019
2715	21
4019	9347
3007	9764
2316	5179
218	2872
1412	8157
3456	9557
2081	9326
3750	4816
2931	643
1244	7891
1595	6089
2038	6350
3514	1675
2602	1561
320	1432
1468	8028
898	6611
1346	4991
2078	7902
934	1775
22	123
3899	8301
2169	1452
3311	3828
1745	6277
3179	2238
3708	9995
671	2039
713	2763
3992	4250
2698	395
3818	5821
237	2987
1585	8602
3689	2240
2781	6472
734	3741
4148	3558
157	2063
3774	1779
3193	18
2554	1274
1084	4005
1072	7315
340	1305
4117	4004
177	2384
1390	6857
1462	7894
521	5130
3696	3594
4111	5424
1379	3984
576	945
3693	6849
3579	7178
2713	3469
1560	3415
3708	359
83	1094
1865	4122
3171	2255
916	6865
2828	9709
3118	7187
3103	4086
771	4240
1658	4189
2060	8014
496	4954
2850	152
2283	5443
3993	633
3955	1151
3648	9810
288	3432
2295	4836
446	4592
787	6367
1267	7942
3473	5809
2667	3844
1556	2630
3135	91
103	1343
2166	4041
3721	1948
2802	7635
2668	3818
1075	2143
1785	3340
1124	4027
2353	7237
1974	9218
2448	7519
2635	1888
383	4184
1682	3553
664	1410
1744	5225
1374	706
247	3096
3318	1909
365	163
2370	2123
3286	1419
260	3240
2473	9574
1088	7124
4037	8082
3071	4517
4064	9953
3822	1463
1729	7905
2563	9728
1785	4641
4073	247
3438	1474
1428	5278
1374	7814
2004	90
3704	8916
3021	1861
546	2176
2579	3656
1473	5859
2720	6670
3596	7734
3467	8058
2230	5295
4001	5536
3088	6451
918	6876
1566	6317
834	1359
2909	3827
497	4993
258	2825
4115	4162
2601	2934
168	2280
457	4674
3021	8433
3612	550
3603	8790
4013	4574
162	2176
4049	9363
3759	6
154	2051
3936	5988
3536	7884
592	319
1937	3323
4105	9200
2871	5987
161	2166
1340	6795
1982	2732
2859	6721
902	6126
782	6350
1075	2798
4088	6990
2984	6154
2981	3384
2523	6701
801	1443
3997	3930
3937	2833
3467	5651
2726	9179
2858	9729
377	4140
1738	5713
3363	8572
1359	8066
2229	6871
2525	2082
2660	7039
1612	2940
3626	201
727	6022
610	5483
174	2372
148	1393
2697	186
3709	1777
1850	7292
2558	9193
3798	9134
752	3724
1928	8701
2504	9435
4036	2078
1560	8525
3834	1544
2499	52
477	4829
2631	3852
1824	5185
4006	802
2381	1897
4159	5530
2804	5207
2048	7201
3720	7038
2720	5356
1353	3834
1209	7813
2297	2305
2101	7761
514	5112
3942	298
4084	6479
3170	3558
1410	2277
258	3197
699	876
298	3482
1798	8799
210	2788
2679	6377
2753	3158
1968	2870
3335	6235
1308	6494
2257	5915
3795	5164
889	6750
1118	2275
1974	670
1598	8404
3746	9699
737	6144
1390	6662
3504	5457
2468	2170
414	4371
1704	8799
1564	138
3051	5601
3555	8450
207	2739
1867	2545
1998	9250
2684	4670
3975	6318
3970	8770
1095	3812
496	4971
1703	7716
2243	9494
2931	655
2422	3753
1423	8294
3147	4
3104	9814
3794	7061
368	4067
2263	8874
2944	7632
110	315
2855	5524
1062	6205
574	5333
1454	2626
3973	1267
2859	6184
3361	1892
3305	5847
712	5975
2192	7811
2988	8707
2270	9405
3288	4809
1172	4976
2212	2235
3793	6337
3463	4092
4057	8905
3401	6801
2329	9491
1442	2433
1622	7889
4108	2629
1045	3861
2003	6645
3338	2574
98	1302
3379	2054
2738	9622
2720	5355
3596	4282
2334	4027
990	7132
742	2434
3919	2872
3531	8168
2332	9047
270	1159
1632	8677
1952	7401
2507	6023
3973	9858
743	6206
883	6716
3317	1283
1629	6837
1224	7855
2033	5170
2609	7341
2169	7117
3822	114
214	2850
2927	3917
3271	4276
3405	7076
985	1573
1318	3322
2937	4074
1857	660
1379	1119
2660	4964
833	2292
3824	3261
2623	7839
642	5633
2870	9280
3990	242
594	5415
2871	4179
1289	7974
128	1644
2341	4930
463	4729
3454	1237
3971	7600
26	187
2615	9354
2403	9642
2896	3783
2141	1356
324	3700
2235	323
3750	6546
3525	1294
463	4717
3797	1940
2646	1295
3764	7826
2407	1684
3447	793
187	2534
1706	1792
2667	3161
232	2955
3607	4924
1586	2515
193	2562
169	2304
1044	5150
736	6130
2413	3275
542	3495
497	4985
3135	397
1119	4836
2110	8624
871	6657
2695	9797
1476	7004
3878	3803
1092	5031
2941	8387
1212	7830
3616	8448
2780	831
20	108
3048	5810
2508	8038
1230	3485
1650	8712
2293	8935
1622	8158
2548	6770
1640	8373
2256	3588
1622	6893
2635	9041
2186	3560
1943	4109
2220	9482
36	321
1872	4528
1308	4426
1399	138
1814	5978
1108	7442
2766	5708
2514	161
2593	8457
447	4603
1984	2771
1136	5707
1060	3729
1767	3071
1998	2336
440	4576
3454	6352
2723	7910
148	1953
1182	7707
1470	498
3171	7174
3935	1689
3155	5604
685	5834
399	4286
742	416
4009	6878
511	5104
2078	7426
918	5878
737	5328
2183	6996
3168	5251
2180	4319
3289	22
3125	5723
3798	8947
3901	1243
3194	3468
160	2086
3857	3823
2831	1428
161	2162
2658	7530
3755	3674
577	5353
3296	6741
2099	9188
3334	7730
915	2489
2623	5654
328	3720
664	1993
3746	6860
3145	7112
469	4761
1650	7600
1011	5184
3339	252
136	1735
3628	5246
2969	5229
1709	3601
1331	306
3736	9996
4087	2742
2790	5221
2575	196
3754	5925
666	5749
2219	4254
185	2495
319	3666
2718	3230
3252	8021
897	6759
3531	7302
3750	7546
3327	7407
1898	1178
3992	4761
2935	2040
3183	4915
435	1938
2781	9581
3478	9752
2525	8648
3530	7578
3386	3468
745	2833
2412	166
3428	2873
1952	7892
3888	1314
3052	6949
480	971
1782	6154
3857	408
2083	4014
3898	9874
3877	4201
3050	8987
2195	6204
2125	3651
3135	583
3359	2611
169	2305
2776	1777
1442	4159
3626	197
1599	8634
3174	6
3541	6834
3368	2181
153	2031
3599	7371
357	3965
429	4510
1485	7709
1015	2629
24	152
1897	4713
2520	8880
3091	5054
2718	7094
2538	1975
2962	7185
177	2385
1072	4311
2894	1338
3791	7022
2915	1317
3132	573
2167	5251
793	4636
1298	4214
843	5345
95	244
1003	2133
505	5071
1080	6662
1229	5089
1454	1767
2350	3753
110	1414
2989	8642
1457	6094
2796	9644
3607	4941
2713	7870
383	556
806	3555
647	4902
293	3467
3412	741
3368	2180
1594	8622
1719	292
3969	9829
1075	6399
3577	9852
1152	4140
1896	7872
2413	8350
1785	7342
3583	116
406	267
562	1619
2874	9857
2658	7846
3701	8092
1158	507
2702	7787
3945	7941
3935	8475
2534	2371
2161	9413
2246	4475
3502	9743
139	1761
965	5406
916	5014
60	823
2872	1327
3620	9541
1590	5285
572	5321
2132	9381
1668	8744
3468	8777
689	5851
36	356
129	1671
2780	3921
1336	5468
2568	8250
141	1791
2478	9579
587	2399
1134	7498
2107	1938
3356	8462
154	2038
2321	9108
3242	3557
2824	6383
1118	4224
4137	3589
1546	2488
3499	4505
1857	4654
301	3494
3994	1661
3366	7063
3735	2039
649	5661
564	5296
2785	6382
1571	556
3117	6528
3933	350
3035	2816
2487	9007
3334	159
2373	9621
412	4369
2135	317
3900	2404
3750	1015
67	880
2918	8726
183	1466
1176	242
2737	9493
3062	5068
2010	5978
1666	6294
1322	6170
2065	9312
4029	6661
579	5363
3206	1187
989	6678
363	4011
3231	9962
3555	8799
609	5476
697	5877
36	358
1956	2432
41	507
2579	8225
3776	2351
3883	797
3950	1642
3780	1744
3059	7952
1520	8488
741	6173
52	763
2161	6861
3752	8156
230	2944
3013	9789
2764	3181
392	505
458	4692
1497	7223
2965	6328
3132	9943
771	3479
1705	1343
3524	1874
3454	9981
735	2734
2143	8556
2909	2044
739	4130
